44,41,3
59,20,39
50,19,31
39,35,4
30,23,7
25,17,8
36,20,16
44,25,19
52,33,19
62,37,25
51,19,32
62,23,39
58,28,30
56,24,32
59,20,39
80,30,50
59,32,27
44,27,17
49,31,18
46,26,20
60,26,34
68,23,45
44,31,13
73,39,34
50,30,20
54,31,23
55,28,27
58,27,31
66,48,18
56,45,11
56,27,29
48,39,9
31,37,-6
50,33,17
54,37,17
64,27,37
54,38,16
60,36,24
56,36,20
51,59,-8
79,42,37
70,33,37
36,46,-10
39,41,-2
50,41,9
40,43,-3
54,33,21
67,40,27
39,38,1
51,41,10
41,52,-11
55,50,5
74,45,29
39,33,6
46,33,13
41,39,2
53,42,11
44,39,5
67,42,25
59,43,16
49,65,-16
49,39,10
41,58,-17
46,49,-3
56,44,12
61,43,18
64,74,-10
51,30,21
43,49,-6
44,50,-6
44,56,-12
48,52,-4
43,54,-11
59,66,-7
46,51,-5
55,67,-12
62,72,-10
63,57,6
61,32,29
38,41,-3
37,57,-20
49,80,-31
45,76,-31
50,55,-5
45,60,-15
49,51,-2
35,55,-20
38,42,-4
60,62,-2
44,60,-16
48,70,-22
40,47,-7
34,32,2
44,60,-16
43,45,-2
32,46,-14
41,59,-18
35,47,-12
49,61,-12
49,68,-19
51,70,-19
45,70,-25
65,61,4
60,52,8
40,44,-4
41,56,-15
34,39,-5
25,60,-35
22,61,-39
31,40,-9
20,50,-30
32,61,-29
27,54,-27
26,42,-16
24,47,-23
43,45,-2
23,32,-9
35,46,-11
26,35,-9
34,49,-15
30,68,-38
45,60,-15
26,42,-16
18,41,-23
18,53,-35
17,50,-33
29,48,-19
22,40,-18
20,40,-20
35,36,-1
20,36,-16
19,42,-23
21,34,-13
28,42,-14
19,39,-20
18,42,-24
20,79,-59
16,40,-24
17,44,-27
12,35,-23
15,33,-18
20,40,-20
26,44,-18
13,50,-37
19,32,-13
21,42,-21
20,29,-9
15,19,-4
18,33,-15
23,36,-13
15,55,-40
27,37,-10
20,32,-12
21,33,-12
14,32,-18
15,27,-12
13,41,-28
21,33,-12
22,52,-30
34,44,-10
25,15,10
17,64,-47
47,38,9
34,40,-6
25,25,0
32,29,3
51,35,16
24,26,-2
52,22,30
